frame_idx,phase,segment,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker,ttl_code
38,phase_2,CHOICE1,10,block5_phase_2_t10,0.633041,1001.745629,1041.60014,,
39,phase_2,CHOICE1,10,block5_phase_2_t10,0.64955,1001.76225,1041.61665,,
40,phase_2,CHOICE1,10,block5_phase_2_t10,0.667005,1001.78025,1041.634105,,
41,phase_2,CHOICE1,10,block5_phase_2_t10,0.68332,1001.796108,1041.65042,,
42,phase_2,CHOICE1,10,block5_phase_2_t10,0.700151,1001.812878,1041.66725,,
43,phase_2,CHOICE1,10,block5_phase_2_t10,0.716568,1001.829334,1041.683668,,
44,phase_2,CHOICE1,10,block5_phase_2_t10,0.733232,1001.845863,1041.700331,,
45,phase_2,CHOICE1,10,block5_phase_2_t10,0.750081,1001.862917,1041.71718,,
46,phase_2,CHOICE1,10,block5_phase_2_t10,0.766847,1001.879401,1041.733947,,
47,phase_2,CHOICE1,10,block5_phase_2_t10,0.783835,1001.896546,1041.750935,,
48,phase_2,CHOICE1,10,block5_phase_2_t10,0.800293,1001.913296,1041.767393,,
49,phase_2,CHOICE1,10,block5_phase_2_t10,0.816626,1001.929317,1041.783726,,
50,phase_2,CHOICE1,10,block5_phase_2_t10,0.833999,1001.946704,1041.801099,,
51,phase_2,CHOICE1,10,block5_phase_2_t10,0.8503,1001.962975,1041.8174,,
52,phase_2,CHOICE1,10,block5_phase_2_t10,0.866888,1001.979562,1041.833987,,
53,phase_2,CHOICE1,10,block5_phase_2_t10,0.883706,1001.996405,1041.850806,,
54,phase_2,CHOICE1,10,block5_phase_2_t10,0.901065,1002.013677,1041.868165,,
55,phase_2,CHOICE1,10,block5_phase_2_t10,0.917482,1002.030065,1041.884582,,
56,phase_2,CHOICE1,10,block5_phase_2_t10,0.933055,1002.045593,1041.900155,,
57,phase_2,CHOICE1,10,block5_phase_2_t10,0.949613,1002.06225,1041.916713,,
58,phase_2,CHOICE1,10,block5_phase_2_t10,0.966627,1002.079147,1041.933727,,
59,phase_2,CHOICE1,10,block5_phase_2_t10,0.983042,1002.095595,1041.950141,,
60,phase_2,CHOICE1,10,block5_phase_2_t10,1.000914,1002.11356,1041.968013,,
61,phase_2,CHOICE1,10,block5_phase_2_t10,1.016177,1002.128697,1041.983276,,
62,phase_2,CHOICE1,10,block5_phase_2_t10,1.033425,1002.146028,1042.000525,,
63,phase_2,CHOICE1,10,block5_phase_2_t10,1.05059,1002.163584,1042.01769,,
64,phase_2,CHOICE1,10,block5_phase_2_t10,1.067164,1002.180045,1042.034264,,
65,phase_2,CHOICE1,10,block5_phase_2_t10,1.083677,1002.19657,1042.050776,,
66,phase_2,CHOICE1,10,block5_phase_2_t10,1.100346,1002.213128,1042.067446,,
67,phase_2,CHOICE1,10,block5_phase_2_t10,1.116774,1002.229726,1042.083874,,
68,phase_2,CHOICE1,10,block5_phase_2_t10,1.133556,1002.24618,1042.100656,,
69,phase_2,CHOICE1,10,block5_phase_2_t10,1.308085,1002.420593,1042.275185,CHOICE1_response,
0,phase_2,CHOICE2,10,block5_phase_2_t10,0.0,1002.433522,1042.288043,CHOICE2_onset,
1,phase_2,CHOICE2,10,block5_phase_2_t10,0.012282,1002.445775,1042.300325,,
2,phase_2,CHOICE2,10,block5_phase_2_t10,0.028962,1002.462422,1042.317005,,
3,phase_2,CHOICE2,10,block5_phase_2_t10,0.04535,1002.478873,1042.333393,,
4,phase_2,CHOICE2,10,block5_phase_2_t10,0.061994,1002.495556,1042.350037,,
5,phase_2,CHOICE2,10,block5_phase_2_t10,0.078726,1002.512399,1042.366769,,
6,phase_2,CHOICE2,10,block5_phase_2_t10,0.095333,1002.528786,1042.383376,,
7,phase_2,CHOICE2,10,block5_phase_2_t10,0.112136,1002.545602,1042.400179,,
8,phase_2,CHOICE2,10,block5_phase_2_t10,0.129347,1002.563101,1042.41739,,
9,phase_2,CHOICE2,10,block5_phase_2_t10,0.145674,1002.5793,1042.433716,,
10,phase_2,CHOICE2,10,block5_phase_2_t10,0.162184,1002.595676,1042.450227,,
11,phase_2,CHOICE2,10,block5_phase_2_t10,0.178685,1002.612191,1042.466728,,
12,phase_2,CHOICE2,10,block5_phase_2_t10,0.195222,1002.628732,1042.483265,,
13,phase_2,CHOICE2,10,block5_phase_2_t10,0.211929,1002.645567,1042.499972,,
14,phase_2,CHOICE2,10,block5_phase_2_t10,0.228691,1002.662154,1042.516734,,
15,phase_2,CHOICE2,10,block5_phase_2_t10,0.245416,1002.679044,1042.533459,,
16,phase_2,CHOICE2,10,block5_phase_2_t10,1.266616,1003.70007,1043.554659,CHOICE2_response,
