frame_idx,phase,segment,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker,ttl_code
47,phase_2,CHOICE1,11,block5_phase_2_t11,0.783339,1009.945325,1049.799869,,
48,phase_2,CHOICE1,11,block5_phase_2_t11,0.800159,1009.962317,1049.816689,,
49,phase_2,CHOICE1,11,block5_phase_2_t11,0.816591,1009.97863,1049.833121,,
50,phase_2,CHOICE1,11,block5_phase_2_t11,0.833094,1009.99501,1049.849624,,
51,phase_2,CHOICE1,11,block5_phase_2_t11,0.850803,1010.012854,1049.867333,,
52,phase_2,CHOICE1,11,block5_phase_2_t11,0.867142,1010.029107,1049.883672,,
53,phase_2,CHOICE1,11,block5_phase_2_t11,0.883903,1010.046383,1049.900433,,
54,phase_2,CHOICE1,11,block5_phase_2_t11,0.900787,1010.062984,1049.917317,,
55,phase_2,CHOICE1,11,block5_phase_2_t11,0.917075,1010.079343,1049.933605,,
56,phase_2,CHOICE1,11,block5_phase_2_t11,0.933519,1010.095565,1049.950049,,
57,phase_2,CHOICE1,11,block5_phase_2_t11,0.950148,1010.112209,1049.966678,,
58,phase_2,CHOICE1,11,block5_phase_2_t11,0.966628,1010.128708,1049.983158,,
59,phase_2,CHOICE1,11,block5_phase_2_t11,0.983427,1010.145396,1049.999957,,
60,phase_2,CHOICE1,11,block5_phase_2_t11,1.000038,1010.16203,1050.016568,,
61,phase_2,CHOICE1,11,block5_phase_2_t11,1.01688,1010.179308,1050.03341,,
62,phase_2,CHOICE1,11,block5_phase_2_t11,1.033627,1010.195955,1050.050157,,
63,phase_2,CHOICE1,11,block5_phase_2_t11,1.050103,1010.212585,1050.066633,,
64,phase_2,CHOICE1,11,block5_phase_2_t11,1.067017,1010.229171,1050.083547,,
65,phase_2,CHOICE1,11,block5_phase_2_t11,1.084681,1010.246925,1050.101211,,
66,phase_2,CHOICE1,11,block5_phase_2_t11,1.100869,1010.263172,1050.117399,,
67,phase_2,CHOICE1,11,block5_phase_2_t11,1.117379,1010.2795,1050.133909,,
68,phase_2,CHOICE1,11,block5_phase_2_t11,1.134157,1010.29654,1050.150687,,
69,phase_2,CHOICE1,11,block5_phase_2_t11,1.150181,1010.312695,1050.166711,,
70,phase_2,CHOICE1,11,block5_phase_2_t11,1.166823,1010.328829,1050.183353,,
71,phase_2,CHOICE1,11,block5_phase_2_t11,1.183439,1010.345527,1050.199969,,
72,phase_2,CHOICE1,11,block5_phase_2_t11,1.200054,1010.362228,1050.216584,,
73,phase_2,CHOICE1,11,block5_phase_2_t11,1.216941,1010.379415,1050.233471,,
74,phase_2,CHOICE1,11,block5_phase_2_t11,1.233938,1010.396363,1050.250468,,
75,phase_2,CHOICE1,11,block5_phase_2_t11,1.250563,1010.4129,1050.267093,,
76,phase_2,CHOICE1,11,block5_phase_2_t11,1.266736,1010.429112,1050.283266,,
77,phase_2,CHOICE1,11,block5_phase_2_t11,1.284134,1010.446283,1050.300664,,
78,phase_2,CHOICE1,11,block5_phase_2_t11,1.300787,1010.462983,1050.317317,,
79,phase_2,CHOICE1,11,block5_phase_2_t11,1.317012,1010.479076,1050.333542,,
80,phase_2,CHOICE1,11,block5_phase_2_t11,1.333599,1010.495799,1050.350129,,
81,phase_2,CHOICE1,11,block5_phase_2_t11,1.34995,1010.511993,1050.36648,,
82,phase_2,CHOICE1,11,block5_phase_2_t11,1.366512,1010.528533,1050.383042,,
83,phase_2,CHOICE1,11,block5_phase_2_t11,1.383245,1010.545248,1050.399775,,
84,phase_2,CHOICE1,11,block5_phase_2_t11,1.399838,1010.561816,1050.416368,,
85,phase_2,CHOICE1,11,block5_phase_2_t11,1.570744,1010.732708,1050.587274,CHOICE1_response,
0,phase_2,CHOICE2,11,block5_phase_2_t11,0.0,1010.745105,1050.599617,CHOICE2_onset,
1,phase_2,CHOICE2,11,block5_phase_2_t11,0.016628,1010.761622,1050.616246,,
2,phase_2,CHOICE2,11,block5_phase_2_t11,0.033391,1010.778523,1050.633009,,
